RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,BetterRank,Finish,FinishRound,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,FinishDetails_present,FinishDetails_clean,BMatchWCRank_present,RMatchWCRank_present,BMatchWCRank_cat,RMatchWCRank_cat,BWFeatherweightRank_present,RWFeatherweightRank_present,BPFPRank_present,BWFlyweightRank_present,RWFlyweightRank_present,BWStrawweightRank_present,BWBantamweightRank_present,BWelterweightRank_present,BBantamweightRank_present,BLightHeavyweightRank_present,BLightweightRank_present,BFeatherweightRank_present,BFlyweightRank_present,BMiddleweightRank_present,RWStrawweightRank_present,BHeavyweightRank_present,RWBantamweightRank_present,RFeatherweightRank_present,RBantamweightRank_present,RMiddleweightRank_present,RLightHeavyweightRank_present,RLightweightRank_present,RHeavyweightRank_present,RFlyweightRank_present,RWelterweightRank_present,RPFPRank_present,blue_has_any_rank,red_has_any_rank,Winner,OddsRatio,RedExperience,BlueExperience,ExperienceDifference,RedWinPercentage,BlueWinPercentage,WinPercentageDifference,RedForm,BlueForm,FormDifference,RedStrikerScore,BlueStrikerScore,RedGrapplerScore,BlueGrapplerScore,StyleAdvantage,RedFinishRate,BlueFinishRate,FinishRateDifference,RedAgeFactor,BlueAgeFactor,AgeFactorDifference,RedBettingConfidence,BlueBettingConfidence,RedPerformanceScore,BluePerformanceScore,PerformanceScoreDiff,RedImpliedProbability,BlueImpliedProbability
-130.0,110.0,76.9231,110.0,2024-12-07,False,Featherweight,MALE,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,Orthodox,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,Orthodox,175.26,182.88,145,36,33,0,0,0,-1,0,-2,0,3,-2,2.54,-5.08,-3,-1.84,-0.2,-0.25,neither,KO/TKO,3.0,801.0,275.0,550.0,500.0,700.0,300.0,250.0,1,Elbows,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,-1.1818181818181819,8,8,0,0.6249999999921875,0.49999999999375,0.12499999999843747,1,1,0,2.875,2.3373000000000004,1.41,1.0775000000000001,0.20519999999999983,0.6,1.0,-0.4,0.6,0.8,-0.20000000000000007,206.9231,0.0,0.41249999999484377,0.43999999999450007,-0.0274999999996563,-0.007692307692307693,0.00909090909090909
150.0,-180.0,150.0,55.5556,2024-12-07,False,Welterweight,MALE,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,Orthodox,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,Orthodox,190.5,198.12,170,34,30,0,0,-1,-7,-4,-27,0,0,-1,-5.08,-2.54,-4,1.06,-0.1,0.24,neither,S-DEC,3.0,900.0,400.0,185.0,1000.0,550.0,450.0,300.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,-0.8333333333333334,18,7,11,0.72222222221821,0.8571428571306122,-0.13492063491240225,3,3,0,2.0585999999999998,2.8832000000000004,0.8808,0.7208,-0.9846000000000006,0.46153846153846156,0.8333333333333334,-0.3717948717948718,0.7333333333333334,1.0,-0.2666666666666666,0.0,235.5556,0.6885185185146936,1.114285714269796,-0.42576719575510236,0.006666666666666667,-0.005555555555555556
-112.0,-108.0,89.2857,92.5926,2024-12-07,False,Catch Weight,MALE,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,0,1,3,4,0,0,8,Southpaw,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,0,0,5,4,3,0,12,Orthodox,187.96,198.12,185,40,37,0,0,-7,-4,1,-2,-5,0,-3,-2.54,-7.62,-3,0.23,-0.7,-1.65,neither,KO/TKO,2.0,591.0,150.0,200.0,1000.0,1800.0,650.0,380.0,1,Punches,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,1.037037037037037,19,16,3,0.631578947365097,0.49999999999687506,0.13157894736822195,1,1,0,1.431,1.6027,2.2447999999999997,0.5654,-1.8510999999999997,0.5833333333333334,0.5,0.08333333333333337,0.33333333333333337,0.5333333333333333,-0.19999999999999996,201.28570000000002,200.5926,0.23157894736720228,0.2933333333315001,-0.0617543859642978,-0.008928571428571428,-0.009259259259259259
142.0,-170.0,142.0,58.8235,2024-12-07,False,Flyweight,MALE,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,Orthodox,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,Southpaw,170.18,170.18,125,33,23,0,0,-1,-2,-3,-10,0,0,-1,-5.08,-5.08,-10,5.04,-0.9,-2.74,Red,U-DEC,3.0,900.0,300.0,250.0,550.0,800.0,900.0,225.0,0,Not Recorded,0,1,Unranked,Rank 11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Blue,-0.8352941176470589,11,5,6,0.5454545454495868,0.799999999984,-0.25454545453441313,1,1,0,1.675,4.446700000000001,3.08,1.0206000000000002,-4.831100000000001,0.3333333333333333,0.25,0.08333333333333331,0.8,0.5333333333333333,0.2666666666666667,0.0,228.8235,0.4799999999956364,0.46933333332394667,0.01066666667168975,0.007042253521126761,-0.0058823529411764705
700.0,-1100.0,700.0,9.0909,2024-12-07,False,Lightweight,MALE,3,0,3,0,5.08,0.52,2.3,1.45,0.24,3,3,23,0,0,0,2,2,3,0,7,Southpaw,185.42,187.96,155,2,0,0,2.64,0.33,0.6,3.13,0.36,4,19,105,2,0,4,9,2,5,0,20,Orthodox,170.18,177.8,155,42,25,-2,3,-1,-13,-16,-82,-2,0,-2,15.24,10.16,-17,2.44,1.7,-1.68,neither,SUB,1.0,221.0,1200.0,225.0,2800.0,-165.0,2200.0,700.0,1,Armbar,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,-0.6363636363636364,39,10,29,0.5128205128191978,0.699999999993,-0.18717948717380217,-2,3,-5,0.8712000000000001,2.6416,1.7268,2.6479999999999997,-0.8492000000000001,0.35,0.7142857142857143,-0.3642857142857143,0.19999999999999996,0.6666666666666667,-0.4666666666666668,0.0,1109.0909,0.07179487179468767,0.6066666666606001,-0.5348717948659124,0.0014285714285714286,-0.0009090909090909091
-150.0,-230.0,66.6667,43.4783,2024-11-23,False,Welterweight,MALE,3,0,1,0,3.38,0.49,0.0,1.08,0.32,5,4,26,0,0,2,2,3,0,0,7,Orthodox,180.34,177.8,170,0,1,0,4.49,0.46,0.0,0.42,0.3,2,4,23,0,0,0,3,3,0,0,6,Orthodox,182.88,180.34,170,34,40,0,0,3,1,0,3,0,0,0,-2.54,-2.54,6,-1.11,0.0,0.66,neither,KO/TKO,1.0,229.0,250.0,175.0,750.0,1800.0,420.0,200.0,1,Kick,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,0.6521739130434783,10,11,-1,0.599999999994,0.6363636363578512,-0.036363636363851204,1,1,0,2.0654000000000003,1.6562,0.126,0.3456,0.6288000000000005,0.5,0.42857142857142855,0.07142857142857145,0.7333333333333334,0.33333333333333337,0.4,216.6667,273.4783,0.4839999999951601,0.23333333333121214,0.25066666666394793,-0.006666666666666667,-0.004347826086956522
-950.0,750.0,10.5263,750.0,2024-11-23,False,Women's Flyweight,FEMALE,3,0,1,0,3.46,0.46,0.3,0.56,0.18,1,2,9,0,0,1,0,0,0,0,1,Southpaw,167.64,167.64,125,0,2,0,5.81,0.46,2.3,1.16,0.5,2,0,2,0,0,0,0,1,1,0,2,Southpaw,167.64,167.64,125,32,31,0,-1,-1,-1,2,7,0,-1,-1,0.0,0.0,-1,-2.35,-2.0,-0.6,neither,SUB,2.0,529.0,-110.0,1000.0,460.0,3000.0,280.0,2200.0,1,Rear Naked Choke,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,-1.2666666666666666,2,3,-1,0.99999999995,0.3333333333222222,0.6666666666277778,2,1,1,2.6726,1.5916000000000001,2.88,0.4008,-1.3981999999999999,1.0,0.0,1.0,0.8666666666666667,0.9333333333333333,-0.06666666666666665,960.5263,0.0,1.039999999948,0.34222222221081483,0.6977777777371852,-0.0010526315789473684,0.0013333333333333333
215.0,-265.0,215.0,37.7358,2024-11-23,False,Light Heavyweight,MALE,3,0,6,0,7.2,0.56,0.2,0.72,0.75,6,1,13,0,0,0,1,5,1,0,7,Orthodox,193.04,195.58,205,0,2,0,4.95,0.48,0.1,0.5,0.29,3,6,31,1,0,2,1,4,1,0,8,Orthodox,187.96,190.5,205,35,34,0,4,3,-1,-5,-18,-1,1,0,5.08,5.08,-1,2.25,0.1,0.22,Red,U-DEC,3.0,900.0,500.0,240.0,1600.0,800.0,500.0,130.0,0,Not Recorded,1,1,Top 10,Top 10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Blue,-0.8113207547169812,14,8,6,0.5714285714244898,0.8749999999890625,-0.30357142856457275,2,6,-4,2.376,4.032000000000001,0.245,0.74,-1.161000000000001,0.625,0.8571428571428571,-0.2321428571428571,0.6666666666666667,0.7333333333333334,-0.06666666666666665,0.0,302.7358,0.45714285713959185,1.0266666666538335,-0.5695238095142416,0.004651162790697674,-0.0037735849056603774
190.0,-230.0,190.0,43.4783,2024-11-23,False,Bantamweight,MALE,3,0,2,0,2.11,0.42,0.3,4.67,0.58,2,0,6,0,0,1,1,0,0,0,2,Orthodox,167.64,165.1,135,0,2,0,1.75,0.38,0.3,1.65,0.75,2,1,8,0,0,0,1,0,1,0,2,Orthodox,175.26,177.8,135,28,28,0,0,0,0,-1,-2,0,0,-1,-7.62,-12.7,0,0.36,0.0,3.02,neither,U-DEC,3.0,900.0,300.0,350.0,600.0,1000.0,1100.0,525.0,0,Not Recorded,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,-0.8260869565217391,3,2,1,0.6666666666444444,0.99999999995,-0.3333333333055556,2,2,0,0.665,0.8861999999999999,1.5374999999999999,3.0085999999999995,1.2499,0.5,0.0,0.5,0.8666666666666667,0.8666666666666667,0.0,0.0,273.4783,0.6933333333102222,1.039999999948,-0.3466666666377779,0.005263157894736842,-0.004347826086956522
102.0,-122.0,102.0,81.9672,2024-11-23,False,Flyweight,MALE,3,0,2,0,4.54,0.66,0.0,0.46,0.14,2,0,6,0,0,2,0,0,0,0,2,Switch,165.1,167.64,125,0,2,0,4.05,0.52,0.5,0.92,0.33,2,0,6,0,0,1,1,0,0,0,2,Orthodox,177.8,185.42,125,29,25,0,0,0,0,0,0,0,0,0,-12.7,-17.78,-4,0.49,-0.5,-0.46,neither,KO/TKO,1.0,156.0,250.0,150.0,750.0,2500.0,420.0,550.0,1,Punch,0,0,Unranked,Unranked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue,-0.8360655737704918,2,2,0,0.99999999995,0.99999999995,0.0,2,2,0,2.106,2.9964,0.8036000000000001,0.06440000000000001,-1.6296000000000002,0.0,0.0,0.0,0.9333333333333333,0.6666666666666667,0.2666666666666666,0.0,203.9672,1.119999999944,0.79999999996,0.31999999998399997,0.00980392156862745,-0.00819672131147541
